City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Gouyave,GD,84.97,few clouds,12.1646,-61.7296,Rumboat Retreat
2,Kieta,PG,79.7,light rain,-6.2167,155.6333,Uruna Bay Retreat
10,Saint George,US,83.43,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
11,Meulaboh,ID,76.8,broken clouds,4.1363,96.1285,Kost Pria
15,Albany,US,78.44,overcast clouds,42.6001,-73.9662,
20,Bethel,US,85.3,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
24,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Jamestown,US,80.02,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
32,San Cristobal,VE,84.38,scattered clouds,7.7669,-72.225,Pirineos
33,Kushima,JP,78.66,broken clouds,31.4583,131.2333,Hanaoka
34,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
35,Puerto Colombia,CO,87.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
36,Faanui,PF,78.42,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
44,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
58,Bandarbeyla,SO,77.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
59,Diamantino,BR,80.1,broken clouds,-14.4086,-56.4461,Hotel Delta
60,Atuona,PF,77.36,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
71,Mitsamiouli,KM,75.02,clear sky,-11.3847,43.2844,Foyer ADM
75,Reriutaba,BR,87.64,overcast clouds,-4.1417,-40.5822,CASA MEDEIROS
77,Kuching,MY,77.22,scattered clouds,1.55,110.3333,Hilton Kuching
79,Bamnet Narong,TH,75.51,overcast clouds,15.4992,101.6897,Jong Jaroen Resort
87,Mabaruma,GY,82.42,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
91,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
93,Butaritari,KI,81.14,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
95,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
96,Port Arthur,CN,75.42,heavy intensity rain,38.8,121.2667,Friendship Hotel
98,Hilo,US,89.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Tarauaca,BR,86.18,overcast clouds,-8.1614,-70.7656,Flat Temporada
108,Lodwar,KE,84.65,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
115,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
121,Sao Filipe,CV,77.61,scattered clouds,14.8961,-24.4956,Hotel Xaguate
122,Kapaa,US,84.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
125,Harper,LR,75.06,broken clouds,4.375,-7.7169,Screensaver
128,Breznita-Motru,RO,76.84,clear sky,44.5667,23.2167,
129,Sibolga,ID,76.57,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
130,Galle,LK,77.29,overcast clouds,6.0367,80.217,Amangalla
131,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
134,Kinshasa,CD,79.72,few clouds,-4.3246,15.3215,Star Hotel II
143,Medicine Hat,CA,87.22,few clouds,50.0501,-110.6683,Ramada Limited Medicine Hat
144,Quang Ngai,VN,77.02,overcast clouds,15.1167,108.8,Central Hotel
146,Port Blair,IN,81.28,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
148,Tuscaloosa,US,85.05,clear sky,33.2098,-87.5692,Hampton Inn Tuscaloosa-University
151,Pacific Grove,US,81.39,clear sky,36.6177,-121.9166,Lovers Point Inn
152,Hobyo,SO,76.44,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
155,Miranda,CO,84.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
156,Asyut,EG,87.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
157,Lorengau,PG,80.83,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
161,Camalu,MX,77.77,overcast clouds,30.85,-116.0667,La Cueva del Pirata
169,Touros,BR,76.95,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
172,Havelock,US,87.75,scattered clouds,34.8791,-76.9013,Sherwood Motel
176,Jinxiang,CN,80.71,broken clouds,27.4327,120.6062,Wolong Village
177,Guerrero Negro,MX,82.35,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
181,Balikpapan,ID,76.19,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
186,Hirara,JP,84.97,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
189,Hithadhoo,MV,81.34,overcast clouds,-0.6,73.0833,Scoop Guest House
190,Katghora,IN,75.83,moderate rain,22.5,82.55,Mr.K.D. Mahant
191,Vermilion,US,85.57,scattered clouds,40.1667,-87.7506,Sparkling Springs Cabin
192,Ninh Binh,VN,79.2,overcast clouds,20.2539,105.975,Kinh Do Hotel
195,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
196,Lalmohan,BD,81.72,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
197,Pasighat,IN,77.59,overcast clouds,28.0667,95.3333,Siang Guest House
198,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,hotel la terminal
201,Eydhafushi,MV,80.01,broken clouds,5.1033,73.0708,Soneva Fushi
203,Nagua,DO,89.91,scattered clouds,19.3832,-69.8474,Hotel Cambri
206,Hamilton,US,85.8,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
210,Bousse,BF,81.19,overcast clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
211,Alamosa,US,75.18,clear sky,37.4695,-105.87,Best Western Alamosa Inn
212,Umm Lajj,SA,89.04,clear sky,25.0213,37.2685,Moon light Furnished Units
215,Tura,IN,75.74,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
227,Mahina,PF,79.75,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
232,Beaverlodge,CA,81.75,clear sky,55.2166,-119.4361,Side Trax Inn
235,Papara,BR,81.0,broken clouds,-3.9839,-38.7273,CAMPOS MARANGUAPE
236,Samarai,PG,76.35,overcast clouds,-10.6167,150.6667,Nuli Sapi
237,Paciran,ID,76.3,scattered clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
243,Najran,SA,83.05,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
244,Broome,US,80.98,scattered clouds,42.2506,-75.833,Chenango Valley State Park
252,Dorado,PR,89.73,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
258,Camopi,GF,79.61,broken clouds,3.1655,-52.3158,La pousada
262,Nha Trang,VN,80.6,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
263,Nicoya,CR,86.85,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
264,Auki,SB,78.3,broken clouds,-8.7676,160.7034,Auki Motel
265,Port-Gentil,GA,76.96,overcast clouds,-0.7193,8.7815,Fengshui Residence
267,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
270,Maneadero,MX,79.11,broken clouds,31.7167,-116.5667,Casa De Thompson
271,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
273,Pauini,BR,89.64,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
277,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
284,Bensonville,LR,76.55,overcast clouds,6.4461,-10.6125,Moinga
285,Norman Wells,CA,80.64,scattered clouds,65.282,-126.8329,Heritage Hotel
