City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gouyave,GD,12.1646,-61.7296,84.97,70,20,20.71,few clouds
1,Hobart,AU,-42.8794,147.3294,44.46,81,20,12.66,few clouds
2,Kieta,PG,-6.2167,155.6333,79.7,82,82,7.05,light rain
3,Hermanus,ZA,-34.4187,19.2345,53.8,80,100,6.49,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,73.56,72,71,17.83,broken clouds
5,Severo-Kurilsk,RU,50.6789,156.125,57.27,91,70,3.36,broken clouds
6,Ushuaia,AR,-54.8,-68.3,40.66,65,75,3.44,broken clouds
7,San Patricio,US,28.017,-97.5169,95.18,46,97,13.35,overcast clouds
8,Forquilhinha,BR,-28.7475,-49.4722,50.23,90,100,5.68,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,53.01,88,100,6.91,overcast clouds
10,Saint George,US,37.1041,-113.5841,83.43,58,75,9.22,broken clouds
11,Meulaboh,ID,4.1363,96.1285,76.8,89,83,4.85,broken clouds
12,Carnarvon,AU,-24.8667,113.6333,62.17,41,100,18.92,overcast clouds
13,Lebu,CL,-37.6167,-73.65,50.14,74,5,17.31,clear sky
14,Vostok,RU,46.4856,135.8833,60.03,73,100,4.36,overcast clouds
15,Albany,US,42.6001,-73.9662,78.44,56,100,9.46,overcast clouds
16,Bengkulu,ID,-3.8004,102.2655,74.35,87,10,4.61,clear sky
17,Kuusamo,FI,65.9667,29.1833,59.04,88,75,4.61,broken clouds
18,Avarua,CK,-21.2078,-159.775,73.45,68,40,13.8,scattered clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,49.08,72,40,14.97,scattered clouds
20,Bethel,US,41.3712,-73.414,85.3,45,75,10.36,broken clouds
21,Sawara,JP,35.8833,140.5,70.21,94,2,0.0,clear sky
22,Yellowknife,CA,62.456,-114.3525,73.92,60,75,12.66,broken clouds
23,Punta Arenas,CL,-53.15,-70.9167,42.91,65,100,13.8,light rain
24,Puerto Ayora,EC,-0.7393,-90.3518,76.96,91,89,10.0,overcast clouds
