City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cayenne,GF,2022-08-18 15:46:52,4.9333,-52.3333,89.64,55,75,8.05
1,Busselton,AU,2022-08-18 15:46:52,-33.65,115.3333,56.91,73,95,9.22
2,Cape Town,ZA,2022-08-18 15:45:55,-33.9258,18.4232,58.1,81,100,25.32
3,Hasaki,JP,2022-08-18 15:46:52,35.7333,140.8333,75.29,80,0,12.24
4,Evensk,RU,2022-08-18 15:46:53,61.95,159.2333,48.16,83,100,6.11
5,Rikitea,PF,2022-08-18 15:46:53,-23.1203,-134.9692,73.11,76,57,15.61
6,Blantyre,MW,2022-08-18 15:46:53,-15.785,35.0085,73.9,30,6,6.17
7,Kargasok,RU,2022-08-18 15:46:54,59.0556,80.8572,51.67,79,97,9.22
8,Kaitangata,NZ,2022-08-18 15:46:54,-46.2817,169.8464,50.85,83,64,12.71
9,Puyo,EC,2022-08-18 15:46:54,-1.4667,-77.9833,78.04,65,20,4.61
10,Georgetown,MY,2022-08-18 15:45:55,5.4112,100.3354,83.89,76,20,3.44
11,Torbeyevo,RU,2022-08-18 15:46:55,54.0797,43.2473,74.35,43,100,17.85
12,Durban,ZA,2022-08-18 15:46:55,-29.8579,31.0292,67.12,71,99,3.0
13,Staryy Nadym,RU,2022-08-18 15:46:55,65.6118,72.6842,48.96,83,100,11.68
14,Castro,BR,2022-08-18 15:42:02,-24.7911,-50.0119,57.51,95,100,6.96
15,Mataura,NZ,2022-08-18 15:46:56,-46.1927,168.8643,48.69,98,93,3.02
16,Ushuaia,AR,2022-08-18 15:46:56,-54.8,-68.3,40.62,87,75,18.41
17,Hobart,AU,2022-08-18 15:45:04,-42.8794,147.3294,48.06,75,72,12.66
18,Kununurra,AU,2022-08-18 15:46:57,-15.7667,128.7333,55.38,76,7,1.14
19,Muriti,TZ,2022-08-18 15:46:57,-1.9833,32.9167,70.25,73,100,12.21
20,Ahipara,NZ,2022-08-18 15:46:57,-35.1667,173.1667,63.27,95,100,21.45
21,Hermanus,ZA,2022-08-18 15:46:58,-34.4187,19.2345,58.8,87,99,14.52
22,Bosaso,SO,2022-08-18 15:46:58,11.2842,49.1816,89.49,51,51,4.81
23,Touros,BR,2022-08-18 15:46:58,-5.1989,-35.4608,84.04,59,12,19.86
24,Kormilovka,RU,2022-08-18 15:46:59,55.0026,74.1028,51.78,60,100,11.68
25,Tiksi,RU,2022-08-18 15:46:59,71.6872,128.8694,40.21,98,69,12.73
26,Ancud,CL,2022-08-18 15:46:59,-41.8697,-73.8203,49.23,92,100,12.53
27,Tual,ID,2022-08-18 15:47:00,-5.6667,132.75,77.77,79,100,16.55
28,Esperance,AU,2022-08-18 15:47:00,-33.8667,121.9,51.8,74,13,15.59
29,North Platte,US,2022-08-18 15:47:00,41.1239,-100.7654,76.12,68,0,7.0
30,Hithadhoo,MV,2022-08-18 15:47:01,-0.6,73.0833,81.7,77,99,12.86
31,Hilo,US,2022-08-18 15:47:01,19.7297,-155.09,77.29,90,0,4.0
32,Vaini,TO,2022-08-18 15:47:03,-21.2,-175.2,71.76,78,20,12.66
33,Kahului,US,2022-08-18 15:47:04,20.8947,-156.47,77.85,73,0,8.05
34,Albany,US,2022-08-18 15:42:36,42.6001,-73.9662,77.18,66,100,1.01
35,Codrington,AU,2022-08-18 15:47:04,-38.2667,141.9667,43.34,88,27,9.69
36,Tynda,RU,2022-08-18 15:47:05,55.1667,124.7167,45.01,94,14,2.93
37,Nikolskoye,RU,2022-08-18 15:47:05,59.7035,30.7861,84.09,58,100,2.95
38,Itaberai,BR,2022-08-18 15:47:06,-16.0203,-49.8103,90.41,17,0,8.72
39,Punta Arenas,CL,2022-08-18 15:47:06,-53.15,-70.9167,42.82,75,86,10.2
40,Tuktoyaktuk,CA,2022-08-18 15:47:06,69.4541,-133.0374,51.8,100,100,25.32
41,Ust-Nera,RU,2022-08-18 15:47:07,64.5667,143.2,51.85,86,98,2.98
42,Ostersund,SE,2022-08-18 15:47:07,63.1792,14.6357,57.61,88,100,11.5
43,Cabo San Lucas,MX,2022-08-18 15:47:08,22.8909,-109.9124,87.62,80,91,1.01
44,Bluff,NZ,2022-08-18 15:48:08,-46.6,168.3333,51.26,83,38,18.14
45,Narsaq,GL,2022-08-18 15:48:09,60.9167,-46.05,55.62,45,0,6.55
